keys,description,ru,en
appTitle,base,BAG24,BAG24
yes,base,Да,Yes
all,base,Все,All
back,base,Назад,Back
cancel,base,Отмена,Cancel
change,base,Изменить,Change
close,base,Закрыть,Close
closed,base,Закрытые,Closed
toContinue,base,Продолжить,Continue
delete,base,Удалить,Delete
description,base,Описание,Description
done,base,Готово,Ready
exit,base,Выйти,Log out
ok,base,Ок,OK
next,base,Далее,Next
no,base,Нет,No
profile,base,Профиль,Profile
remove,base,Удалить,Delete
repeat,base,Повторить,Repeat
save,base,Сохранить,Save
sec,base,сек,sec
service,base,Сервис,Service
services,base,Сервисы,Services
skip,base,Пропустить,Skip
success,base,Успешно,Successfully
update,base,Обновить,Update
copiedToClipboard,base,Скопировано в буфер обмена,Copied to clipboard
pushNotifications,base,Push-уведомления:,Push notifications:
linkCannotBeOpenedInBrowser,base,Невозможно открыть ссылку в браузере,Can't open link in browser
requestVia,base,Запросить через,Request via
resend,base,Отправить повторно,Resend
airportAlreadyExists,exception,Аэропорт уже существует,The airport already exists
airportCantDeleted,exception,Аэропорт не может быть удален,The airport cannot be deleted
airportNotFound,exception,Аэропорт не найден,Airport not found
noInternetConnection,exception,Интернет-соединение отсутствует,No internet connection
impossibleSendOtpCode,exception,Ошибка при отправке OTP-кода,Error sending OTP code
incompletePayment,exception,Существует незавершенный платеж,There is a pending payment
accessTokenRequired,exception,Необходим ACCESS token,ACCESS token required
allAgreementsMustBeAccepted,exception,Все соглашения должны быть приняты,All agreements must be accepted
alreadyLocked,exception,Файл уже заблокирован,The file is already locked
alreadyUnlocked,exception,Файл уже разблокирован,The file is already unlocked
autoChargeOnFirstPayment,exception,Автосписание можно включить только при первом платеже,Auto debit can only be enabled on the first payment
bindingNotFound,exception,Привязанная карта не найдена,Linked card not found
bucketNotFound,exception,Корзина не найдена,Cart not found
cantEnableAutoCharge,exception,Невозможно включить автоплатеж,Unable to enable auto payment
cantSendOtpTooOften,exception,"Слишком часто был запрошен OTP-код. Пожалуйста, повторите попытку позже",The OTP code was requested too often. Please try again later
cityAlreadyExists,exception,Город уже существует,The city already exists
cityCantDeleted,exception,Город не может быть удален,The city cannot be deleted
cityNotFound,exception,Город не найден,City not found
companyNotFound,exception,Компания не найдена,Company not found
countryAlreadyExists,exception,Страна уже существует,The country already exists
countryCantDeleted,exception,Страна не может быть удалена,Country cannot be deleted
countryNotFound,exception,Страна не найдена,Country not found
defaultRateAlreadyExists,exception,Тариф по умолчанию уже существует,Default tariff already exists
depositedDaysNotFound,exception,У заказа отсутствуют дни хранения багажа,The order does not have luggage storage days
doNotNeedToPay,exception,Доплата не нужна за единицу багажа,No additional payment required per piece of luggage
fileIsNotImage,exception,Файл не является изображением,The file is not an image
fileNotFound,exception,Файл не найден,File not found
internalServerError,exception,Ошибка на стороне сервера,Server side error
invalidAmount,exception,Неверая сумма,Incredible amount
invalidAutoPayment,exception,Автоматическое списание платежа доступно только после привязки карты,Automatic debiting of payment is available only after linking the card
invalidCityData,exception,Неверные данные города,Incorrect city data
invalidCountryData,exception,Неверные данные страны,Incorrect country data
invalidFileExtension,exception,Неверное расширение файла,Invalid file extension
invalidImageExtension,exception,Недопустимое расширение изображения,Invalid image extension
invalidLuggage,exception,Неверная единица багажа,Invalid baggage item
invalidLuggageData,exception,Для создания багажа нужен либо тариф либо специальное предложение,To create luggage you need either a tariff or a special offer
invalidLuggageStatus,exception,Неверный статус единицы багажа,Invalid baggage status
invalidMoaMilesAmount,exception,Неверное количество миль бонусной программы MILEONAIR,Incorrect number of miles in the MILEONAIR bonus program
invalidMoaOtpCode,exception,Неверный OTP-код подтверждения бонусной программы MILEONAIR,Incorrect OTP confirmation code for the MILEONAIR bonus program
invalidOperationStatus,exception,Некорректный статус операции по оплате заказа,Incorrect order payment transaction status
invalidOrderStatus,exception,Нельзя выполнить операцию в текущем статусе заказа,The operation cannot be performed in the current order status
invalidOtpCode,exception,Неверный OTP-код подтверждения,Invalid OTP verification code
invalidPayment,exception,Неправильный платеж,Incorrect payment
invalidPaymentMethod,exception,Выбранный способ платежа сейчас недоступен,The selected payment method is currently unavailable
invalidPaymentStatus,exception,Неправильный статус платежа,Wrong payment status
invalidPaymentType,exception,Неправильный тип платежа,Wrong payment type
invalidRates,exception,Неверные тарифы,Incorrect rates
invalidSpecialOffers,exception,Неправильные специальные предложения,Incorrect special offers
invalidUserStatus,exception,Неверный статус пользователя,Invalid user status
jwtDecodeError,exception,Неверный токен,Invalid token
jwtExpireError,exception,Время жизни токена истекло,Token lifetime has expired
locationNotFound,exception,Локация не найдена,Location not found
locationTagNotFound,exception,Тег локации не найден,Location tag not found
luggageIdsMustBeProvided,exception,Для доплаты обязательны идентификаторы багажа,Baggage IDs are required for surcharge
luggageNotFound,exception,Единица багажа не найдена,Luggage item not found
moaIsAlreadyIntegrated,exception,Бонусная программа MILEONAIR уже подключена,The MILEONAIR bonus program is already activated
operationNotFound,exception,Операция не найдена,Operation not found
orderLuggageNotFound,exception,Багаж не найден,Luggage not found
orderNotFound,exception,Заказ не найден,Order not found
otpCodeIsExpired,exception,OTP-код недействителен,OTP code is invalid
paymentFailed,exception,Ошибка при проведении платежа,Error when making payment
paymentMethodNotFound,exception,Способ платежа не найден,Payment method not found
paymentNotAll,exception,Доплата за товар производится автоматически,Additional payment for goods is made automatically
paymentNotFound,exception,Платеж не найден,Payment not found
photosNotFound,exception,Фото не найдены,No photos found
photosAlreadyLocked,exception,Фото уже заблокированы,Photos are already blocked
apikeyNumberRequired,exception,API-KEY должен содержать как минимум одну цифру,API-KEY must contain at least one digit
apikeySpecialSymbolRequired,exception,API-KEY должен содержать как минимум один специальный символ,API-KEY must contain at least one special character
apikeyUppercaseRequired,exception,API-KEY должен содержать как минимум одну заглавную букву,API-KEY must contain at least one capital letter
rateNotDeleted,exception,Тариф не может быть удален,Tariff cannot be deleted
rateNotFound,exception,Тариф не найден,Tariff not found
refreshTokenRequired,exception,Необходим REFRESH token,REFRESH token required
sessionIsAlreadyExpired,exception,Сессия уже истекла,Session has already expired
shortApikey,exception,Длина API-KEY должна быть не менее 16 символов,API-KEY length must be at least 16 characters
specialOfferNotFound,exception,Специальное предложение не найдено,No special offer found
storageNotDeleted,exception,Камера хранения не может быть удалена,Luggage storage cannot be deleted
storageNotFound,exception,Камера хранения не найдена,Luggage storage not found
sumMisMatch,exception,Сумма цен на товары не соответствует общей сумме заказа,The sum of prices for goods does not correspond to the total amount of the order
terminalNotFound,exception,Терминал не найден,Terminal not found
tripNotFound,exception,Рейс не найден,Flight not found
userIsAlreadyRegistered,exception,Пользователь уже зарегистрирован,User is already registered
userIsNotIntegratedWithMoa,exception,Пользователь не интегрирован с бонусной программой MILEONAIR,The user is not integrated with the MILEONAIR bonus program
userNotFound,exception,Пользователь не найден,User not found
userNotFoundInMoa,exception,Пользователь бонусной программы MILEONAIR не найден,MILEONAIR bonus program user not found
userNotRegisteredInMoa,exception,Пользователь не зарегистрирован в бонусной программе MILEONAIR,The user is not registered in the MILEONAIR bonus program
validationRequestError,exception,Ошибка валидации запроса,Request validation error
unknownAppException,exception,Неизвестная ошибка приложения,Unknown application error
unknownServerException,exception,Неизвестная ошибка сервера,Unknown server error
home,home,Главная,Home
luggageStorage,home,Камера хранения,Luggage storage
lostItemInAirport,home,Забытые вещи в аэропорту,Lost items at the airport
leaveYourLuggage,home,Оставить багаж,Leave luggage
usefulInformation,home,Полезная информация,Useful information
useManualAndAutomaticStorageCameras,home,Воспользуйтесь ручными и автоматическими камерами хранения,Take advantage of manual and automatic storage lockers
sendingParsels,home,Отправка посылок,Sending parcels
fastDeliveryYourShipment,home,Быстрая доставка ваших отправлений,Fast delivery of your shipments
notifications,notifications,Уведомления,Notifications
onboardingLostFoundDesc,onboarding,"Поможем вернуть потерянный, зарегистрированный багаж","We will help you return lost, checked luggage"
onboardingLostFoundTitle,onboarding,Lost & Found ✈️,Lost & Found ✈️
onboardingLostItemsDesc,onboarding,"Не переживайте, если оставили ваши вещи на борту воздушного судна или на территории аэропорта — мы поможем вернуть их!",Don't worry if you left your belongings on board an aircraft or on the airport grounds - we will help you return them!
onboardingLostItemsTitle,onboarding,Помощь при потере личных вещей 🔍,Help with loss of personal belongings 🔍
onboardingLuggageStorageDesc,onboarding,Находите камеры хранения и путешествуйте налегке,Find luggage storage and travel light
onboardingLuggageStorageTitle,onboarding,Система камер хранения 🎒,Luggage storage system 🎒
login,onboarding,Войти,Login
continueWithoutAuth,onboarding,Продолжить без авторизации,Continue without authorization
byContinuingYouAgreeTo,authentication,"Продолжая, вы соглашаетесь с","By continuing, you agree to"
codeWillBeSentWithinMinute,authentication,Код придёт в течение минуты на номер,The code will be sent to your number within a minute
entrance,authentication,Вход,Entrance
entryCode,authentication,Код для входа,Login code
getCode,authentication,Получить код,Get code
withPrivacyPolicyAndUserAgreement,authentication,Политикой конфиденциальности и Пользовательским соглашением,Privacy Policy and User Agreement
blankPhone,authentication,Пустой телефон,Blank phone
incorrentCountryCode,authentication,Неправильный код страны,Incorrect country code
incorrentPhoneNumber,authentication,Неправильный номер телефона,Incorrect phone number
allowAppUseBiometricsAuthentication,biometrics,Разрешить приложению использовать аутентификацию по биометрии?,Allow an app to use biometric authentication?
biometricHint,biometrics,Подтвердите личность,Verify your identity
biometricNotRecognized,biometrics,Биометрические данные не распознаются,Biometric data is not recognized
biometricRequiredTitle,biometrics,Требуется биометрия,Biometrics required
biometricsTitle,biometrics,Требуется аутентификация,Authentication required
lockOut,biometrics,Заблокировано,Blocked
connectLoginBy,biometrics,"Подключите вход по {type}, чтобы не вводить ПИН-код",Connect input using {type} to avoid entering a PIN code
useBy,biometrics,Использовать {type},Use {type}
bookLuggageStorage,banner,Забронируйте камеру хранения,Book your luggage storage
toBook,banner,Забронировать,Book
updateToLatestVersionOfApp,banner,Обновитесь до актуальной версии приложения,Update to the latest version of the application
balance,profile,Баланс,Balance
aboutBAG24,profile,О BAG24,About BAG24
appVersion,profile,Версия приложения,Application version
areYouSureYouWantDeleteYourAccount,profile,"Вы уверены, что хотите удалить аккаунт?",Are you sure you want to delete your account?
areYouSureYouWantLogOut,profile,"Вы уверены, что хотите выйти?",Are you sure you want to go out?
connected,profile,Подключен,Connected
dataIsSaved,profile,Данные сохранены,Data saved
deleteAnAccount,profile,Удалить аккаунт,Delete account
notConnected,profile,Не подключен,Not connected
myData,profile,Мои данные,My details
name,profile,Имя,Name
paymentMethod,profile,Способ оплаты,Payment method
privacyPolicy,profile,Политика конфиденциальности,Privacy Policy
temporarilyUnavailable,profile,Временно недоступен,Temporarily unavailable
surname,profile,Фамилия,Surname
middleName,profile,Отчество,Surname
settings,profile,Настройки,Settings
